C:\mbw\results\A16_244.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Fri 18-Jan-2019  5:22
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


*** DETECTORS NOT NORMALIZED


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   3/Shelf: 3/4*6


CCPM1

 	1	2	3	4	5	6	
A	338	341	335	362	368	392	
B	402	402	237	220	264	295	
C	359	352	400	403	411	437	
D	477	469	454	474	483	450	

End of plate 3
Plate 4
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   4/Shelf: 4/4*6


CCPM1

 	1	2	3	4	5	6	
A	412	440	262	201	250	242	
B	227	270	298	299	341	300	
C	392	410	442	413	453	449	
D	440	477	465	469	417	373	

End of plate 4
Plate 5
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   5/Shelf: 5/4*6


CCPM1

 	1	2	3	4	5	6	
A	297	286	341	342	375	437	
B	392	399	391	421	452	421	
C	468	494	473	470	395	404	
D	358	355	352	373	431	387	

End of plate 5
Plate 6
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   6/Shelf: 6/4*6


CCPM1

 	1	2	3	4	5	6	
A	441	456	417	460	186	176	
B	157	158	161	138	141	150	
C	194	177	17	20	235	243	
D	309	290	335	341	396	371	

End of plate 6
Plate 7
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   7/Shelf: 7/4*6


CCPM1

 	1	2	3	4	5	6	
A	400	407	412	423	375	403	
B	372	365	412	358	389	432	
C	442	446	472	435	473	456	
D	441	440	438	472	419	444	

End of plate 7
Plate 8
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   8/Shelf: 8/4*6


CCPM1

 	1	2	3	4	5	6	
A	382	415	433	414	455	426	
B	482	488	248	245	235	246	
C	187	169	199	182	228	242	
D	266	293	341	358	330	296	

End of plate 8
Plate 9
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   9/Shelf: 9/4*6


CCPM1

 	1	2	3	4	5	6	
A	245	259	236	262	287	284	
B	252	265	237	252	291	296	
C	233	243	229	249	259	234	
D	240	244	279	294	312	310	

End of plate 9
Plate 10
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  10/Shelf:10/4*6


CCPM1

 	1	2	3	4	5	6	
A	326	354	321	358	229	225	
B	215	220	262	271	221	236	
C	220	226	240	258	308	297	
D	307	299	259	255	222	212	

End of plate 10
Plate 11
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  11/Shelf:11/4*6


CCPM1

 	1	2	3	4	5	6	
A	192	196	199	166	196	182	
B	305	307	341	340	361	370	
C	246	246	204	211	194	167	
D	166	181	196	174	191	205	

End of plate 11
Plate 12
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  12/Shelf:12/4*6


CCPM1

 	1	2	3	4	5	6	
A	181	207	220	232	194	183	
B	170	177	185	216	206	209	
C	197	200	226	242	288	276	
D	338	307	381	359	241	241	

End of plate 12
Plate 13
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  13/Shelf:13/4*6


CCPM1

 	1	2	3	4	5	6	
A	175	195	162	177	181	162	
B	231	256	248	267	283	296	
C	333	395	336	339	189	183	
D	215	248	236	239	289	304	

End of plate 13
Plate 14
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  14/Shelf:14/4*6


CCPM1

